time_step,avg_return_0,avg_of_avg_returns
0,-214.338,-214.338
100,-151.793,-151.793
200,-303.984,-303.984
300,-201.272,-201.272
400,-283.823,-283.823
500,-241.037,-241.037
600,-189.921,-189.921
700,-210.962,-210.962
800,-201.5,-201.5
900,-254.731,-254.731
1000,-223.045,-223.045
1100,-167.852,-167.852
1200,-219.828,-219.828
1300,-188.902,-188.902
1400,-152.194,-152.194
1500,-128.987,-128.987
1600,-141.396,-141.396
1700,-158.74,-158.74
1800,-146.886,-146.886
1900,-123.894,-123.894
