time_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
44000,-323.424,-441.364,-484.531,-427.191,-431.091,-421.52020000000005
44500,-429.147,-368.82,-355.364,-769.557,-261.025,-436.7826
45000,-364.8,-477.921,-248.635,-274.256,-304.333,-333.98900000000003
45500,-596.321,-291.396,-594.309,-317.626,-398.753,-439.68100000000004
46000,-299.958,-260.7,-466.386,-340.912,-298.47,-333.28520000000003
46500,-241.442,-335.741,-321.024,-341.277,-317.816,-311.46
47000,-276.134,-431.859,-296.502,-284.917,-299.466,-317.77559999999994
47500,-432.24,-390.602,-373.554,-381.373,-350.001,-385.554
48000,-331.346,-324.251,-254.077,-348.575,-286.757,-309.00120000000004
48500,-1098.078,-333.197,-1019.525,-338.413,-373.326,-632.5078000000001
49000,-372.545,-262.72,-528.485,-325.283,-312.601,-360.3268
49500,-467.375,-340.724,-327.535,-330.57,-280.526,-349.346
50000,-363.553,-286.475,-284.399,-276.369,-209.24,-284.0072
50500,-304.957,-368.168,-363.87,-242.289,-352.843,-326.42539999999997
51000,-453.014,-283.511,-457.835,-322.62,-223.158,-348.0276
51500,-604.995,-226.393,-368.433,-374.289,-374.775,-389.77699999999993
52000,-392.052,-381.798,-637.06,-263.579,-326.221,-400.14199999999994
52500,-484.851,-443.925,-660.583,-268.14,-334.527,-438.4052
53000,-359.676,-451.848,-359.559,-297.681,-377.836,-369.32000000000005
53500,-246.207,-332.05,-294.568,-249.301,-281.178,-280.6608
54000,-276.295,-399.249,-682.538,-255.189,-404.142,-403.48260000000005
54500,-293.758,-235.144,-673.54,-302.87,-564.778,-414.01800000000003
55000,-271.457,-299.315,-508.282,-288.879,-298.31,-333.2486
55500,-300.406,-361.281,-403.749,-255.808,-350.01,-334.2508
56000,-293.236,-334.486,-278.587,-316.189,-263.478,-297.1952
56500,-335.264,-274.463,-309.981,-382.263,-348.273,-330.0488
57000,-451.503,-382.084,-291.714,-269.027,-236.283,-326.12219999999996
57500,-384.711,-240.586,-477.981,-442.52,-368.67,-382.8936
58000,-322.595,-346.495,-252.481,-404.683,-293.168,-323.8844
58500,-306.784,-296.297,-379.787,-422.291,-346.798,-350.3914
59000,-265.458,-305.591,-367.018,-250.813,-366.868,-311.1496
59500,-406.826,-373.493,-309.073,-485.139,-329.462,-380.79859999999996
60000,-226.495,-304.699,-299.664,-401.456,-175.402,-281.54319999999996
60500,-257.654,-231.691,-327.712,-257.0,-271.323,-269.076
61000,-279.984,-244.808,-315.199,-226.123,-246.212,-262.4652
61500,-380.56,-272.626,-268.351,-420.005,-315.524,-331.41319999999996
62000,-244.838,-261.847,-483.667,-314.267,-310.401,-323.004
62500,-613.92,-186.527,-532.955,-343.941,-333.768,-402.22220000000004
63000,-331.439,-234.166,-298.787,-254.55,-419.171,-307.62260000000003
63500,-1249.979,-280.266,-276.367,-399.781,-286.777,-498.634
64000,-335.69,-281.755,-317.6,-261.088,-396.113,-318.4492
64500,-321.254,-237.023,-332.619,-297.442,-274.161,-292.49980000000005
65000,-735.261,-215.616,-474.145,-333.98,-249.288,-401.658
65500,-448.889,-258.183,-298.447,-336.418,-461.767,-360.7408
66000,-235.688,-228.149,-329.591,-330.052,-273.194,-279.3348
66500,-940.783,-244.394,-467.016,-300.698,-283.635,-447.30519999999996
67000,-332.639,-311.153,-300.041,-283.47,-382.603,-321.98120000000006
67500,-307.342,-281.171,-333.125,-464.712,-247.274,-326.72479999999996
68000,-376.377,-270.245,-889.003,-277.083,-257.874,-414.11640000000006
68500,-362.084,-286.112,-333.204,-140.106,-177.163,-259.73380000000003
69000,-306.372,-1438.639,-200.456,-180.706,-244.688,-474.1722
69500,-360.527,-233.709,-290.424,-277.405,-286.484,-289.7098
70000,-255.754,-301.073,-197.925,-305.019,-262.585,-264.4712
70500,-270.396,-868.709,-365.245,-244.526,-375.35,-424.84520000000003
71000,-362.375,-223.38,-443.719,-198.085,-497.121,-344.936
71500,-366.935,-271.489,-287.651,-258.252,-222.83,-281.4314
72000,-233.161,-288.829,-353.643,-344.207,-370.299,-318.0278
72500,-348.315,-295.326,-334.804,-223.701,-222.265,-284.8822
73000,-293.316,-337.13,-285.165,-288.171,-247.488,-290.254
73500,-255.941,-297.862,-353.391,-299.237,-186.881,-278.66240000000005
74000,-253.948,-316.196,-695.123,-173.186,-237.003,-335.09119999999996
74500,-184.853,-316.347,-246.896,-384.516,-271.407,-280.8038
75000,-286.113,-1010.034,-306.865,-305.399,-305.486,-442.7794
75500,-281.891,-251.332,-363.286,-260.944,-317.983,-295.0872
76000,-264.113,-363.279,-349.79,-242.644,-264.16,-296.79720000000003
76500,-278.943,-278.37,-296.544,-243.58,-280.327,-275.5528
77000,-279.254,-307.773,-307.914,-269.495,-346.329,-302.153
77500,-184.701,-294.654,-228.209,-256.062,-197.49,-232.2232
78000,-281.855,-214.863,-348.848,-269.32,-364.225,-295.82219999999995
78500,-137.338,-231.689,-266.714,-337.303,-272.035,-249.01579999999998
79000,-201.069,-286.564,-370.554,-303.05,-263.146,-284.8766
79500,-207.864,-293.377,-290.413,-171.312,-270.959,-246.785
80000,-255.378,-329.802,-233.476,-279.688,-208.201,-261.309
80500,-260.759,-275.463,-308.982,-352.066,-389.55,-317.364
81000,-322.197,-228.785,-391.86,-230.271,-305.529,-295.7284
81500,-282.026,-305.933,-354.8,-194.776,-348.122,-297.13140000000004
82000,-245.08,-257.772,-693.885,-198.135,-278.058,-334.586
82500,-372.014,-209.138,-535.162,-346.305,-266.547,-345.83320000000003
83000,-198.331,-370.406,-336.487,-220.399,-299.802,-285.08500000000004
83500,-400.697,-297.352,-315.482,-246.068,-298.646,-311.649
84000,-227.558,-306.996,-243.984,-239.022,-329.528,-269.4176
84500,-286.882,-222.141,-311.512,-211.994,-241.131,-254.73200000000003
85000,-314.775,-281.04,-505.181,-336.053,-250.914,-337.5926
85500,-311.602,-376.076,-292.756,-280.074,-248.024,-301.70640000000003
86000,-343.937,-256.978,-269.906,-270.597,-316.468,-291.5772
86500,-300.005,-297.748,-327.552,-278.045,-268.288,-294.32759999999996
87000,-256.462,-310.544,-216.095,-890.593,-293.502,-393.43919999999997
87500,-172.829,-387.588,-270.504,-275.818,-391.279,-299.60360000000003
88000,-315.117,-336.012,-264.02,-197.595,-243.845,-271.3178
88500,-200.866,-308.378,-323.785,-268.697,-271.516,-274.64840000000004
89000,-278.455,-290.55,-567.11,-231.481,-262.166,-325.9524
89500,-201.005,-242.333,-329.872,-243.681,-324.132,-268.2046
90000,-215.983,-325.322,-222.995,-338.883,-211.455,-262.9276
90500,-243.312,-324.684,-279.283,-316.178,-387.944,-310.28020000000004
91000,-243.511,-442.285,-351.389,-245.039,-276.821,-311.809
91500,-279.129,-248.194,-262.45,-250.179,-369.619,-281.9142
92000,-230.884,-255.809,-502.272,-292.837,-293.306,-315.0216
92500,-291.24,-212.616,-367.431,-231.282,-311.255,-282.76480000000004
93000,-260.353,-282.887,-360.136,-256.323,-250.441,-282.028
93500,-294.435,-248.49,-235.711,-215.135,-255.598,-249.8738
94000,-255.66,-233.513,-317.318,-364.092,-314.861,-297.0888
94500,-260.821,-575.645,-352.925,-241.778,-338.968,-354.02740000000006
95000,-295.056,-222.157,-317.572,-225.204,-251.226,-262.24300000000005
95500,-242.129,-206.664,-320.643,-223.382,-240.42,-246.6476
96000,-283.368,-327.885,-248.059,-260.315,-263.703,-276.666
96500,-287.657,-263.004,-425.649,-349.673,-198.474,-304.89140000000003
97000,-260.123,-254.142,-406.193,-266.458,-222.888,-281.96079999999995
97500,-345.589,-314.7,-419.605,-263.03,-188.709,-306.3266
98000,-304.623,-308.486,-335.461,-304.978,-227.082,-296.12600000000003
98500,-275.055,-346.593,-273.559,-269.827,-240.897,-281.1862
99000,-262.648,-304.734,-367.428,-288.414,-236.877,-292.02020000000005
99500,-253.795,-270.857,-249.465,-248.44,-330.581,-270.6276
