time_step,avg_return_0,avg_of_avg_returns
0,-308.488,-308.488
100,-286.898,-286.898
200,-349.531,-349.531
300,-368.402,-368.402
400,-329.012,-329.012
500,-351.019,-351.019
600,-336.76,-336.76
700,-339.887,-339.887
800,-322.71,-322.71
900,-324.003,-324.003
1000,-372.324,-372.324
1100,-303.079,-303.079
1200,-328.983,-328.983
1300,-344.415,-344.415
1400,-316.011,-316.011
1500,-340.051,-340.051
1600,-336.627,-336.627
1700,-337.071,-337.071
1800,-282.542,-282.542
1900,-314.406,-314.406
